Title;Issn;SJR
Journal of Medical Biography;17581087, 09677720;171
Journal of Nanoelectronics and Optoelectronics;15551318, 1555130X;171
Journal of the Association of Medical Microbiology and Infectious Disease Canada;23710888;171
Journal of the Chinese Society of Corrosion and Protection;10054537;171
Journal of the Society for American Music;17521971, 17521963;171
L' Orthodontie française;786608;171
Maritime Affairs;19466609;171
Planning Malaysia;16756215;171
Proceedings - 13th IEEE International Conference on E-Business Engineering, ICEBE 2016 - Including 12th Workshop on Service-Oriented Applications, Integration and Collaboration, SOAIC 2016;-;171
Proceedings - 2015 11th International Conference on Computational Intelligence and Security, CIS 2015;-;171
Proceedings - 2015 6th IEEE Control and System Graduate Research Colloquium, ICSGRC 2015;-;171
Proceedings of 2016 SICE International Symposium on Control Systems, ISCS 2016;-;171
Proceedings of Singapore Healthcare;20592329, 20101058;171
Proceedings of the World Congress on Intelligent Control and Automation (WCICA);-;171
Proceedings of VPA 2016: 3rd Workshop on Visual Performance Analysis - Held in conjunction with SC 2016: The International Conference for High Performance Computing, Networking, Storage and Analysis;-;171
Proceedings on 2015 1st International Conference on Next Generation Computing Technologies, NGCT 2015;-;171
Profilakticheskaya Meditsina;23054948, 2309513X;171
Psychology and Developing Societies;9713336;171
Refrigeration Science and Technology;1511637;171
Reports in Medical Imaging;11791586;171
Revista de Derecho;07180950, 07169132;171
Revista de Metalurgia;00348570, 19884222;171
Revista Latinoamericana de Investigacion en Matematica Educativa;16652436, 20076819;171
Revue Roumaine de Linguistique;353957;171
SAE International Journal of Passenger Cars - Electronic and Electrical Systems;19464622, 19464614;171
Scandinavian Studies;365637;171
Scientia Agraria;19832443, 15191125;171
Senior care pharmacist, The;26399636, 26399644;171
SKY 2016 - 7th International Workshop on Software Knowledge, Proceedings - In conjuction with IC3K 2016;-;171
Studia Islamika;23556145, 02150492;171
Tire Science and Technology;908657;171
Zhiwu Shengli Xuebao/Plant Physiology Journal;20951108;171
2015 IEEE Recent Advances in Intelligent Computational Systems, RAICS 2015;-;170
2016 13th International Conference on Ubiquitous Robots and Ambient Intelligence, URAI 2016;-;170
2016 IEEE 3rd International Symposium on Wireless Systems within the IEEE International Conferences on Intelligent Data Acquisition and Advanced Computing Systems, IDAACS-SWS 2016 - Proceedings;-;170
2016 IEEE International Conference on Distributed Computing, VLSI, Electrical Circuits and Robotics, DISCOVER 2016 - Proceedings;-;170
2016 International Conference on Computer Communication and Informatics, ICCCI 2016;-;170
American Journal of Jurisprudence;20496494, 00658995;170
ASME 2016 Conference on Smart Materials, Adaptive Structures and Intelligent Systems, SMASIS 2016;-;170
Australasian Journal of Regional Studies;10307923;170
Ayer;11342277;170
B-ENT;1781782X;170
Berliner Journal fur Soziologie;18622593, 08631808;170
Chilean Journal of Agricultural and Animal Sciences;07193882, 07193890;170
Chinese Journal of Contemporary Pediatrics;10088830;170
Chinese Journal of Engineering Design;1006754X, 21928253;170
Clinical Lactation;21580782, 21580537;170
Dermatologie in Beruf und Umwelt;1438776X, 16167090;170
Economic and Environmental Geology;22887962, 12257281;170
Eighteenth Century Studies;00132586, 1086315X;170
Estudos de Psicologia;1413294X;170
Gayana;0717652X, 07176538;170
Glotta - Zeitschrift fur Griechische und Lateinische Sprache;171298;170
HAI 2016 - Proceedings of the 4th International Conference on Human Agent Interaction;-;170
Ingenierie des Systemes d'Information;16331311, 21167125;170
International Journal of Electronic Healthcare;17418461, 17418453;170
International Journal of Language and Culture;22143157, 22143165;170
International Journal of Sustainable Development;09601406, 17415268;170
Iranian Journal of Applied Animal Science;2251628X, 2251631X;170
Iranian Journal of Materials Science and Engineering;17350808;170
ISAP 2016 - International Symposium on Antennas and Propagation;-;170
Israel Journal of Veterinary Medicine;23048859, 03349152;170
Journal Asiatique;17831504, 0021762X;170
Journal of Banking Regulation;17502071, 17456452;170
Journal of Chinese Mass Spectrometry Society;10042997;170
Journal of Chinese Sociology;21982635;170
Journal of Moravian History;19336632, 21616310;170
Journal of Plant Sciences;18164951;170
Journal of Semiconductor Technology and Science;15981657;170
Kontakt;18047122, 12124117;170
Medecine/Sciences;07670974, 19585381;170
Medical Journal of Indonesia;22528083, 08531773;170
Middle Eastern Studies;17437881, 00263206;170
Midwest Studies in Philosophy;03636550, 14754975;170
Migraciones Internacionales;16658906;170
Modern Theology;14680025, 02667177;170
Moshi Shibie yu Rengong Zhineng/Pattern Recognition and Artificial Intelligence;10036059;170
Mundo Agrario;15155994;170
Museum Anthropology;08928339, 15481379;170
Neiranji Gongcheng/Chinese Internal Combustion Engine Engineering;10000925;170
Nepalese journal of ophthalmology : a biannual peer-reviewed academic journal of the Nepal Ophthalmic Society : NEPJOPH;20726805, 20910320;170
Nippon Ganka Gakkai zasshi;290203;170
Oilfield Review;9231730;170
Open Public Health Journal;18749445;170
Physiotherapy Quarterly;25444395;170
Poznan Studies in the Philosophy of the Sciences and the Humanities;18757243, 03038157;170
Proceeding - 2016 IEEE 12th International Colloquium on Signal Processing and its Applications, CSPA 2016;-;170
Proceedings - International Conference on Intelligent Systems, Modelling and Simulation, ISMS;21660662;170
Proceedings of 2016 IEEE International Conference on Cloud Computing and Big Data Analysis, ICCCBDA 2016;-;170
Proceedings of 2016 Radio Frequency Interference: Coexisting with Radio Frequency Interference, RFI 2016;-;170
Proceedings of the 2016 2nd International Conference on Applied and Theoretical Computing and Communication Technology, iCATccT 2016;-;170
Proceedings of the IEEE International Conference on Software Engineering and Service Sciences, ICSESS;23270586;170
Productions Animales;11525428, 09900632;170
Revista de Antropologia;00347701, 16789857;170
Revista de Salud Publica;1240064;170
Revista Gerencia y Politicas de Salud;16577027;170
SEI Technical Review;13434349;170
Sichuan Daxue Xuebao (Gongcheng Kexue Ban)/Journal of Sichuan University (Engineering Science Edition);10093087;170
Studies in European Cinema;17411548, 20400594;170
TAAI 2016 - 2016 Conference on Technologies and Applications of Artificial Intelligence, Proceedings;-;170
Veredas do Direito;18063845, 21798699;170
Voprosy Psikhologii;428841;170
Xi'an Jianzhu Keji Daxue Xuebao/Journal of Xi'an University of Architecture & Technology;10067930;170
2015 15th Non-Volatile Memory Technology Symposium, NVMTS 2015;-;169
2016 21st International Conference on Methods and Models in Automation and Robotics, MMAR 2016;-;169
2016 21st Symposium on Signal Processing, Images and Artificial Vision, STSIVA 2016;-;169
2016 5th International Conference on Agro-Geoinformatics, Agro-Geoinformatics 2016;-;169
2016 9th International Conference on Contemporary Computing, IC3 2016;-;169
2016 IEEE International Conference on Serious Games and Applications for Health, SeGAH 2016;-;169
2016 IEEE Virtual Reality Workshop on K-12 Embodied Learning through Virtual and Augmented Reality, KELVAR 2016;-;169
Advances in Child Development and Behavior;652407;169
African Journal of Medicine and Medical Sciences;03093913, 11164077;169
Africa Today;15271978, 00019887;169
American Business Law Journal;27766;169
American Journal of Animal and Veterinary Sciences;15574563, 15574555;169
Annee Psychologique;35033;169
Anuario Musical;02113538, 19884125;169
APCAP 2016 - 2016 IEEE 5th Asia-Pacific Conference on Antennas and Propagation, Conference Proceedings;-;169
Archivos Espanoles de Urologia;15768260, 00040614;169
Asia Pacific Disability Rehabilitation Journal;10294414;169
Asia Pacific Issues;15220966;169
Avances en Psicologia Latinoamericana;17944724;169
Chiang Mai University Journal of Natural Sciences;16851994;169
Chinese Journal of Inorganic Chemistry;10014861;169
Complutum;11316993, 19882327;169
Extrapolation;145483;169
Functional Materials;22182993, 10275495;169
GeMiC 2016 - 2016 German Microwave Conference;-;169
ICEIS 2016 - Proceedings of the 18th International Conference on Enterprise Information Systems;-;169
IEEE Region 10 Annual International Conference, Proceedings/TENCON;21593450, 21593442;169
Iheringia - Serie Botanica;734705;169
International Journal of Critical Infrastructures;14753219, 17418038;169
International Journal of Environment and Health;17434963, 17434955;169
International Journal of Parallel, Emergent and Distributed Systems;17445779, 17445760;169
Jewish Social Studies;00216704, 15272028;169
Journal of Automation, Mobile Robotics and Intelligent Systems;20802145, 18978649;169
Journal of Binocular Vision and Ocular Motility;2576117X, 25761218;169
Journal of Diabetes Nursing;13681109;169
Journal of Dynamics and Games;21646074;169
Journal of Evidence-Based Psychotherapies;23600853;169
Journal of Himalayan Earth Sciences;23056959, 19943237;169
Journal of Mathematics and Music;17459737, 17459745;169
Journal of Orofacial Sciences;09758844, 23204737;169
Journal of Physical Education (Maringa);24482455;169
Medziagotyra;13921320;169
Metodoloski Zvezki;18540031, 18540023;169
Neurochemical Journal;18197124, 18197132;169
Northern Lights;1601829X, 20400586;169
Pediatric Endocrinology, Diabetes and Metabolism;2081237X, 20838441;169
Photochemistry;5563860;169
Physiotherapy Practice and Research;22130683, 22130691;169
Problemas del Desarrollo;3017036;169
Proceeding - 2016 International Seminar on Intelligent Technology and Its Application, ISITIA 2016: Recent Trends in Intelligent Computational Technologies for Sustainable Energy;-;169
Proceedings - 2015 International Symposium on Educational Technology, ISET 2015;-;169
Proceedings - 2016 2nd International Conference on Cognitive Computing and Information Processing, CCIP 2016;-;169
Proceedings - 2016 International Conference on Digital Economy: Emerging Technologies and Business Innovation, ICDEc 2016;-;169
Proceedings - 2017 IEEE 20th International Symposium on Design and Diagnostics of Electronic Circuit and Systems, DDECS 2017;-;169
Proceedings - 4th IEEE International Conference on Cyber-Physical Systems, Networks, and Applications, CPSNA 2016;-;169
Proceedings of 2016 13th International Conference on Remote Engineering and Virtual Instrumentation, REV 2016;-;169
Proceedings of the 2016 International Conference on Cogeneration, Small Power Plants and District Energy, ICUE 2016;-;169
Proceedings of the International Conference on Software Engineering and Knowledge Engineering, SEKE;23259086;169
Projections (New York);19349688, 19349696;169
Ratio Juris;14679337, 09521917;169
Revista Brasileira de Economia;347140;169
Revista Medica del Instituto Mexicano del Seguro Social;4435117;169
Romanian Journal of Communication and Public Relations;23445440, 14548100;169
Rwanda Medical Journal;2079097X;169
Studia Neophilologica;393274;169
Terapevticheskii Arkhiv;23095342, 00403660;169
Toronto Journal of Theology;8269831;169
Tuberkuloz ve Toraks;4941373;169
Vibroengineering Procedia;23450533;169
Vivarium;15685349, 00427543;169
Zeitschrift fur die Neutestamentliche Wissenschaft und die Kunde der Alteren Kirche;00442615, 1613009X;169
Zhen ci yan jiu = Acupuncture research / [Zhongguo yi xue ke xue yuan Yi xue qing bao yan jiu suo bian ji];10000607;169
141st Audio Engineering Society International Convention 2016, AES 2016;-;168
15th European Conference on the Mathematics of Oil Recovery, ECMOR 2016;-;168
2015 12th International Conference on Fuzzy Systems and Knowledge Discovery, FSKD 2015;-;168
2016 20th International Conference on System Theory, Control and Computing, ICSTCC 2016 - Joint Conference of SINTES 20, SACCS 16, SIMSIS 20 - Proceedings;-;168
